;;;;;;;Playing Time;;;;Performance;;;;;;;;Expected;;;;Progression;;;Per 90 Minutes;;;;;;;;;;
Rk;Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Matches
179;Jack Harrison;eng ENG;MF;Everton;26-346;1996;4;3;257;2.9;0.34;0.69;1.03;0.34;0.00;0.00;0.00;0.00;0.17;0.17;0.28;0.41;3.10;2.07;3.45;0.35;0.70;1.05;0.35;1.05;0.16;0.27;0.43;0.16;0.43;Matches
180;Kai Havertz;de GER;MF,FW;Arsenal;24-143;1999;10;6;566;6.3;0.16;0.16;0.32;0.00;0.16;0.16;0.48;0.00;0.29;0.16;0.11;0.27;1.43;3.97;5.56;0.16;0.16;0.32;0.00;0.16;0.28;0.11;0.39;0.16;0.27;Matches
181;Jan Paul van Hecke;nl NED;DF;Brighton;23-146;2000;5;3;299;3.3;0.00;0.00;0.00;0.00;0.00;0.00;0.30;0.00;0.00;0.00;0.00;0.00;0.30;3.94;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
182;Hwang Hee-chan;kr KOR;FW,MF;Wolves;27-279;1996;10;7;594;6.6;0.91;0.15;1.06;0.91;0.00;0.00;0.45;0.00;0.32;0.32;0.20;0.52;2.12;2.42;5.30;0.91;0.15;1.06;0.91;1.06;0.32;0.19;0.51;0.32;0.51;Matches
183;Rico Henry;eng ENG;DF;Brentford;26-116;1997;5;5;401;4.5;0.00;0.22;0.22;0.00;0.00;0.00;0.22;0.00;0.02;0.02;0.22;0.24;2.89;4.44;2.67;0.00;0.22;0.22;0.00;0.22;0.02;0.22;0.24;0.02;0.24;Matches
184;Son Heung-min;kr KOR;FW;Tottenham;31-116;1992;10;10;796;8.8;0.91;0.11;1.02;0.91;0.00;0.00;0.00;0.00;0.49;0.49;0.27;0.76;2.27;4.20;9.66;0.90;0.11;1.02;0.90;1.02;0.49;0.27;0.75;0.49;0.75;Matches
185;Aaron Hickey;sct SCO;DF;Brentford;21-144;2002;9;9;713;7.9;0.00;0.00;0.00;0.00;0.00;0.00;0.63;0.00;0.03;0.03;0.01;0.04;1.14;2.66;1.65;0.00;0.00;0.00;0.00;0.00;0.03;0.01;0.04;0.03;0.04;Matches
186;James Hill;eng ENG;DF;Bournemouth;21-295;2002;1;0;16;0.2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;15.0;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
187;Jack Hinshelwood;eng ENG;MF;Brighton;18-204;2005;1;1;85;0.9;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.11;0.11;1.11;3.33;1.11;0.00;0.00;0.00;0.00;0.00;0.00;0.08;0.08;0.00;0.08;Matches
188;Callum Hudson-Odoi;eng ENG;FW;Nott'ham Forest;22-359;2000;4;3;229;2.5;0.40;0.00;0.40;0.40;0.00;0.00;0.00;0.00;0.04;0.04;0.08;0.16;7.20;3.20;10.0;0.39;0.00;0.39;0.39;0.39;0.05;0.09;0.14;0.05;0.14;Matches
189;Will Hughes;eng ENG;MF;Crystal Palace;28-198;1995;7;6;499;5.5;0.00;0.00;0.00;0.00;0.00;0.00;0.36;0.00;0.04;0.04;0.09;0.13;0.91;3.27;0.73;0.00;0.00;0.00;0.00;0.00;0.03;0.09;0.12;0.03;0.12;Matches
190;Pierre Højbjerg;dk DEN;MF;Tottenham;28-088;1995;9;1;246;2.7;0.00;0.00;0.00;0.00;0.00;0.00;1.11;0.00;0.04;0.04;0.00;0.04;0.37;8.15;2.96;0.00;0.00;0.00;0.00;0.00;0.04;0.00;0.04;0.04;0.04;Matches
191;Rasmus Højlund;dk DEN;FW;Manchester Utd;20-270;2003;7;6;491;5.5;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.25;0.25;0.05;0.29;1.27;1.27;6.18;0.00;0.00;0.00;0.00;0.00;0.25;0.05;0.30;0.25;0.30;Matches
192;Igor;br BRA;DF;Brighton;25-267;1998;3;3;242;2.7;0.00;0.00;0.00;0.00;0.00;0.00;0.37;0.00;0.04;0.04;0.07;0.11;1.48;4.07;0.00;0.00;0.00;0.00;0.00;0.00;0.02;0.08;0.10;0.02;0.10;Matches
193;Danny Ings;eng ENG;FW,DF;West Ham;31-101;1992;7;0;49;0.5;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.20;0.20;0.00;0.20;0.00;2.00;14.0;0.00;0.00;0.00;0.00;0.00;0.23;0.00;0.23;0.23;0.23;Matches
194;Alexander Isak;se SWE;FW;Newcastle Utd;24-041;1999;8;6;492;5.5;1.09;0.00;1.09;0.91;0.18;0.18;0.00;0.00;0.98;0.84;0.05;0.89;2.36;1.82;4.36;1.10;0.00;1.10;0.91;0.91;0.99;0.05;1.04;0.84;0.90;Matches
195;Alex Iwobi;ng NGA;MF;Everton;27-182;1996;2;2;140;1.6;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.19;0.19;0.13;0.31;3.75;2.50;5.00;0.00;0.00;0.00;0.00;0.00;0.21;0.14;0.35;0.21;0.35;Matches
196;Alex Iwobi;ng NGA;MF,FW;Fulham;27-182;1996;6;2;294;3.3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.12;0.12;0.12;0.24;2.12;6.06;4.24;0.00;0.00;0.00;0.00;0.00;0.13;0.11;0.24;0.13;0.24;Matches
197;Nicolas Jackson;sn SEN;FW;Chelsea;22-134;2001;9;7;669;7.4;0.27;0.00;0.27;0.27;0.00;0.00;0.68;0.00;0.57;0.57;0.08;0.65;2.57;1.76;7.30;0.27;0.00;0.27;0.27;0.27;0.57;0.08;0.65;0.57;0.65;Matches
198;Reece James;eng ENG;DF,FW;Chelsea;23-328;1999;3;1;106;1.2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.08;0.08;0.50;0.58;6.67;9.17;14.2;0.00;0.00;0.00;0.00;0.00;0.09;0.54;0.62;0.09;0.62;Matches
199;Vitaly Janelt;de GER;MF,DF;Brentford;25-175;1998;10;10;793;8.8;0.00;0.11;0.11;0.00;0.00;0.00;0.23;0.00;0.07;0.07;0.08;0.15;0.34;4.09;2.84;0.00;0.11;0.11;0.00;0.11;0.06;0.08;0.15;0.06;0.15;Matches
200;Mathias Jensen;dk DEN;MF;Brentford;27-304;1996;10;10;756;8.4;0.36;0.12;0.48;0.36;0.00;0.00;0.24;0.00;0.05;0.05;0.18;0.24;0.60;4.40;3.45;0.36;0.12;0.48;0.36;0.48;0.05;0.18;0.23;0.05;0.23;Matches
201;Gabriel Jesus;br BRA;FW;Arsenal;26-212;1997;7;4;364;4.0;0.25;0.00;0.25;0.25;0.00;0.00;0.50;0.00;0.45;0.45;0.05;0.50;2.75;2.75;6.75;0.25;0.00;0.25;0.25;0.25;0.44;0.05;0.49;0.44;0.49;Matches
202;Raúl Jiménez;mx MEX;FW;Fulham;32-180;1991;9;8;605;6.7;0.00;0.00;0.00;0.00;0.00;0.00;0.15;0.00;0.16;0.16;0.12;0.28;0.75;0.90;5.97;0.00;0.00;0.00;0.00;0.00;0.17;0.12;0.28;0.17;0.28;Matches
203;João Pedro;br BRA;MF,FW;Brighton;22-036;2001;10;4;494;5.5;0.36;0.18;0.55;0.18;0.18;0.18;0.18;0.00;0.49;0.36;0.24;0.58;3.27;3.27;7.64;0.36;0.18;0.55;0.18;0.36;0.50;0.23;0.73;0.36;0.59;Matches
204;Joelinton;br BRA;MF;Newcastle Utd;27-079;1996;7;6;457;5.1;0.00;0.00;0.00;0.00;0.00;0.00;0.20;0.00;0.08;0.08;0.10;0.18;1.37;3.53;3.53;0.00;0.00;0.00;0.00;0.00;0.08;0.09;0.17;0.08;0.17;Matches
205;Ryan John Giles;eng ENG;DF,MF;Luton Town;23-279;2000;5;3;281;3.1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.03;0.06;0.10;1.61;2.90;6.77;0.00;0.00;0.00;0.00;0.00;0.02;0.06;0.08;0.02;0.08;Matches
206;Brennan Johnson;wls WAL;FW;Tottenham;22-162;2001;4;1;110;1.2;0.00;0.83;0.83;0.00;0.00;0.00;0.83;0.00;0.50;0.50;0.75;1.25;5.00;1.67;13.3;0.00;0.82;0.82;0.00;0.82;0.48;0.74;1.22;0.48;1.22;Matches
207;Brennan Johnson;wls WAL;FW,MF;Nott'ham Forest;22-162;2001;3;3;237;2.6;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.12;0.12;0.08;0.19;3.08;0.38;5.38;0.00;0.00;0.00;0.00;0.00;0.12;0.08;0.21;0.12;0.21;Matches
208;Sam Johnstone;eng ENG;GK;Crystal Palace;30-221;1993;10;10;900;10.0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
209;Curtis Jones;eng ENG;MF;Liverpool;22-275;2001;5;4;280;3.1;0.00;0.00;0.00;0.00;0.00;0.00;0.32;0.32;0.03;0.03;0.00;0.03;0.65;6.13;7.74;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.03;0.03;0.03;Matches
210;Jorginho;it ITA;MF;Arsenal;31-316;1991;7;2;216;2.4;0.00;0.00;0.00;0.00;0.00;0.00;0.42;0.00;0.00;0.00;0.00;0.04;1.25;10.4;0.42;0.00;0.00;0.00;0.00;0.00;0.02;0.01;0.03;0.02;0.03;Matches
211;Diogo Jota;pt POR;FW,MF;Liverpool;26-332;1996;9;5;434;4.8;0.63;0.00;0.63;0.63;0.00;0.00;0.63;0.21;0.52;0.52;0.10;0.63;5.21;1.04;10.8;0.62;0.00;0.62;0.62;0.62;0.52;0.10;0.62;0.52;0.62;Matches
212;Mads Juel Andersen;dk DEN;DF;Luton Town;25-309;1997;6;4;372;4.1;0.24;0.00;0.24;0.24;0.00;0.00;0.24;0.00;0.07;0.07;0.00;0.07;0.00;1.71;0.24;0.24;0.00;0.24;0.24;0.24;0.06;0.00;0.06;0.06;0.06;Matches
213;Hamed Junior Traorè;ci CIV;MF;Bournemouth;23-258;2000;3;0;47;0.5;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.40;0.40;0.00;0.40;4.00;6.00;8.00;0.00;0.00;0.00;0.00;0.00;0.34;0.07;0.41;0.34;0.41;Matches
214;Mathias Jørgensen;dk DEN;DF;Brentford;33-192;1990;1;0;7;0.1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.00;3.00;0.00;10.0;10.0;0.00;0.00;0.00;0.00;0.00;0.00;4.48;4.48;0.00;4.48;Matches
215;Issa Kaboré;bf BFA;DF,MF;Luton Town;22-173;2001;9;7;603;6.7;0.00;0.00;0.00;0.00;0.00;0.00;0.45;0.00;0.01;0.01;0.15;0.16;3.28;2.54;3.58;0.00;0.00;0.00;0.00;0.00;0.02;0.15;0.17;0.02;0.17;Matches
216;Sasa Kalajdzic;at AUT;FW;Wolves;26-117;1997;6;0;57;0.6;3.33;0.00;3.33;3.33;0.00;0.00;0.00;0.00;1.50;1.50;1.17;2.67;1.67;3.33;5.00;3.16;0.00;3.16;3.16;3.16;1.42;1.09;2.51;1.42;2.51;Matches
217;Boubacar Kamara;fr FRA;MF;Aston Villa;23-343;1999;10;10;844;9.4;0.00;0.00;0.00;0.00;0.00;0.00;0.32;0.00;0.01;0.01;0.09;0.09;0.74;4.36;0.32;0.00;0.00;0.00;0.00;0.00;0.01;0.08;0.09;0.01;0.09;Matches
218;Thomas Kaminski;be BEL;GK;Luton Town;31-009;1992;10;10;900;10.0;0.00;0.00;0.00;0.00;0.00;0.00;0.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
219;Michael Keane;eng ENG;DF;Everton;30-294;1993;4;2;226;2.5;0.00;0.00;0.00;0.00;0.00;0.00;0.40;0.00;0.00;0.00;0.00;0.00;0.80;2.40;0.00;0.00;0.00;0.00;0.00;0.00;0.02;0.00;0.02;0.02;0.02;Matches
220;Thilo Kehrer;de GER;DF,MF;West Ham;27-041;1996;3;0;21;0.2;0.00;0.00;0.00;0.00;0.00;0.00;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
221;Lloyd Kelly;eng ENG;DF;Bournemouth;25-026;1998;6;5;457;5.1;0.00;0.00;0.00;0.00;0.00;0.00;0.20;0.00;0.02;0.02;0.02;0.04;1.37;3.73;0.59;0.00;0.00;0.00;0.00;0.00;0.02;0.02;0.04;0.02;0.04;Matches
222;Milos Kerkez;hu HUN;DF;Bournemouth;19-359;2003;10;9;764;8.5;0.00;0.00;0.00;0.00;0.00;0.00;0.12;0.00;0.01;0.01;0.01;0.02;1.88;1.65;3.65;0.00;0.00;0.00;0.00;0.00;0.01;0.01;0.02;0.01;0.02;Matches
223;Max Kilman;eng ENG;DF;Wolves;26-162;1997;10;10;900;10.0;0.00;0.00;0.00;0.00;0.00;0.00;0.20;0.00;0.04;0.04;0.04;0.09;1.00;3.10;0.10;0.00;0.00;0.00;0.00;0.00;0.04;0.04;0.09;0.04;0.09;Matches
224;Jakub Kiwior;pl POL;DF;Arsenal;23-259;2000;3;2;182;2.0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.20;0.20;0.00;0.20;0.00;8.00;2.00;0.00;0.00;0.00;0.00;0.00;0.21;0.00;0.21;0.21;0.21;Matches
225;Justin Kluivert;nl NED;FW;Bournemouth;24-180;1999;7;4;337;3.7;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.11;0.11;0.05;0.16;2.70;3.51;6.76;0.00;0.00;0.00;0.00;0.00;0.10;0.06;0.16;0.10;0.16;Matches
226;Luca Koleosho;it ITA;FW,MF;Burnley;19-047;2004;10;8;627;7.0;0.00;0.14;0.14;0.00;0.00;0.00;0.00;0.00;0.19;0.19;0.16;0.33;5.43;1.86;7.71;0.00;0.14;0.14;0.00;0.14;0.18;0.15;0.34;0.18;0.34;Matches
227;Ibrahima Konaté;fr FRA;DF;Liverpool;24-160;1999;7;4;379;4.2;0.00;0.00;0.00;0.00;0.00;0.00;0.24;0.00;0.00;0.00;0.05;0.05;1.43;4.29;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.04;0.05;0.01;0.05;Matches
228;Ezri Konsa;eng ENG;DF;Aston Villa;26-009;1997;10;10;900;10.0;0.00;0.00;0.00;0.00;0.00;0.00;0.10;0.00;0.07;0.07;0.00;0.07;0.40;2.30;0.50;0.00;0.00;0.00;0.00;0.00;0.07;0.00;0.07;0.07;0.07;Matches
229;Cheikhou Kouyaté;sn SEN;MF;Nott'ham Forest;33-315;1989;7;0;76;0.8;0.00;0.00;0.00;0.00;0.00;0.00;1.25;0.00;0.13;0.13;0.00;0.13;0.00;2.50;1.25;0.00;0.00;0.00;0.00;0.00;0.09;0.05;0.14;0.09;0.14;Matches
230;Mateo Kova?i?;hr CRO;MF;Manchester City;29-179;1994;7;5;461;5.1;0.00;0.00;0.00;0.00;0.00;0.00;0.39;0.00;0.04;0.04;0.14;0.20;2.55;5.88;2.55;0.00;0.00;0.00;0.00;0.00;0.05;0.14;0.19;0.05;0.19;Matches
231;Dejan Kulusevski;se SWE;FW;Tottenham;23-190;2000;10;10;890;9.9;0.20;0.00;0.20;0.20;0.00;0.00;0.10;0.00;0.11;0.11;0.24;0.35;5.76;3.74;12.3;0.20;0.00;0.20;0.20;0.20;0.12;0.24;0.36;0.12;0.36;Matches
232;Adam Lallana;eng ENG;MF,FW;Brighton;35-175;1988;5;2;171;1.9;0.00;0.00;0.00;0.00;0.00;0.00;0.53;0.00;0.00;0.00;0.11;0.11;0.00;3.68;7.89;0.00;0.00;0.00;0.00;0.00;0.00;0.12;0.12;0.00;0.12;Matches
233;Tariq Lamptey;gh GHA;DF,FW;Brighton;23-032;2000;4;1;139;1.5;0.00;1.33;1.33;0.00;0.00;0.00;1.33;0.00;0.00;0.00;0.27;0.27;7.33;4.00;2.00;0.00;1.29;1.29;0.00;1.29;0.01;0.25;0.26;0.01;0.26;Matches
234;Aymeric Laporte;es ESP;DF;Manchester City;29-158;1994;1;0;12;0.1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.27;0.00;0.27;0.27;0.27;Matches
235;Yasser Larouci;dz ALG;DF;Sheffield Utd;22-304;2001;5;1;222;2.5;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.08;0.08;0.00;0.08;3.20;2.00;1.20;0.00;0.00;0.00;0.00;0.00;0.07;0.00;0.07;0.07;0.07;Matches
236;Jamaal Lascelles;eng ENG;DF;Newcastle Utd;29-355;1993;5;4;377;4.2;0.00;0.00;0.00;0.00;0.00;0.00;0.24;0.00;0.02;0.02;0.00;0.02;0.48;1.67;0.24;0.00;0.00;0.00;0.00;0.00;0.02;0.00;0.02;0.02;0.02;Matches
237;Mario Lemina;ga GAB;MF;Wolves;30-061;1993;9;9;791;8.8;0.11;0.00;0.11;0.11;0.00;0.00;0.68;0.11;0.13;0.13;0.01;0.14;0.57;2.84;0.68;0.11;0.00;0.11;0.11;0.11;0.12;0.01;0.13;0.12;0.13;Matches
238;Bernd Leno;de GER;GK;Fulham;31-242;1992;10;10;900;10.0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
239;Jefferson Lerma;co COL;MF;Crystal Palace;29-007;1994;6;6;524;5.8;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.03;0.12;0.14;1.03;2.93;1.90;0.00;0.00;0.00;0.00;0.00;0.03;0.11;0.14;0.03;0.14;Matches
240;Rico Lewis;eng ENG;DF,MF;Manchester City;18-345;2004;4;2;147;1.6;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.25;2.50;3.75;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
241;Keane Lewis-Potter;eng ENG;FW;Brentford;22-252;2001;6;2;222;2.5;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.40;0.40;0.04;0.44;4.80;2.40;12.4;0.00;0.00;0.00;0.00;0.00;0.39;0.05;0.43;0.39;0.43;Matches
242;Victor Lindelöf;se SWE;DF;Manchester Utd;29-107;1994;9;7;672;7.5;0.00;0.13;0.13;0.00;0.00;0.00;0.13;0.00;0.01;0.01;0.04;0.05;0.93;2.27;1.20;0.00;0.13;0.13;0.00;0.13;0.02;0.04;0.06;0.02;0.06;Matches
243;Valentino Livramento;eng ENG;DF,FW;Newcastle Utd;20-354;2002;4;0;49;0.5;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4.00;8.00;6.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
244;Giovani Lo Celso;ar ARG;MF;Tottenham;27-206;1996;2;0;26;0.3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10.0;10.0;6.67;0.00;0.00;0.00;0.00;0.00;0.00;0.10;0.10;0.00;0.10;Matches
245;Tom Lockyer;wls WAL;DF;Luton Town;28-333;1994;9;9;765;8.5;0.12;0.12;0.24;0.12;0.00;0.00;0.24;0.00;0.09;0.09;0.06;0.15;0.59;3.53;0.24;0.12;0.12;0.24;0.12;0.24;0.09;0.06;0.15;0.09;0.15;Matches
246;Sean Longstaff;eng ENG;MF;Newcastle Utd;26-002;1997;10;6;632;7.0;0.29;0.14;0.43;0.29;0.00;0.00;0.43;0.00;0.19;0.19;0.13;0.31;0.71;6.14;3.86;0.28;0.14;0.43;0.28;0.43;0.19;0.13;0.32;0.19;0.32;Matches
247;Max Lowe;eng ENG;MF,DF;Sheffield Utd;26-174;1997;2;2;124;1.4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.86;1.43;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.01;0.00;0.01;Matches
248;Douglas Luiz;br BRA;MF;Aston Villa;25-176;1998;10;10;848;9.4;0.53;0.11;0.64;0.21;0.32;0.32;0.43;0.00;0.34;0.09;0.07;0.16;2.23;5.85;2.23;0.53;0.11;0.64;0.21;0.32;0.34;0.08;0.42;0.09;0.16;Matches
249;Saša Luki?;rs SRB;MF;Fulham;27-080;1996;6;4;337;3.7;0.00;0.00;0.00;0.00;0.00;0.00;0.27;0.00;0.16;0.16;0.03;0.19;0.81;3.24;1.35;0.00;0.00;0.00;0.00;0.00;0.17;0.02;0.20;0.17;0.20;Matches
250;Ian Maatsen;nl NED;FW,MF;Chelsea;21-236;2002;7;0;113;1.3;0.00;0.00;0.00;0.00;0.00;0.00;0.77;0.00;0.31;0.31;0.08;0.38;3.85;3.85;6.92;0.00;0.00;0.00;0.00;0.00;0.33;0.07;0.41;0.33;0.41;Matches
251;Alexis Mac Allister;ar ARG;MF;Liverpool;24-312;1998;10;10;790;8.8;0.00;0.11;0.11;0.00;0.00;0.00;0.45;0.11;0.01;0.01;0.05;0.06;1.59;6.93;0.57;0.00;0.11;0.11;0.00;0.11;0.01;0.04;0.06;0.01;0.06;Matches
252;James Maddison;eng ENG;MF;Tottenham;26-343;1996;10;10;837;9.3;0.32;0.54;0.86;0.32;0.00;0.00;0.22;0.00;0.30;0.30;0.30;0.60;3.12;10.3;7.53;0.32;0.54;0.86;0.32;0.86;0.30;0.30;0.61;0.30;0.61;Matches
253;Noni Madueke;eng ENG;FW,MF;Chelsea;21-236;2002;5;1;119;1.3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.15;0.15;0.15;0.31;6.92;3.08;23.8;0.00;0.00;0.00;0.00;0.00;0.14;0.12;0.27;0.14;0.27;Matches
254;Harry Maguire;eng ENG;DF;Manchester Utd;30-241;1993;5;3;298;3.3;0.00;0.30;0.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.09;0.09;0.91;4.85;0.00;0.00;0.30;0.30;0.00;0.30;0.01;0.09;0.09;0.01;0.09;Matches
255;Orel Mangala;be BEL;MF;Nott'ham Forest;25-228;1998;9;9;732;8.1;0.00;0.00;0.00;0.00;0.00;0.00;0.49;0.00;0.04;0.04;0.02;0.05;0.37;2.22;0.49;0.00;0.00;0.00;0.00;0.00;0.03;0.02;0.05;0.03;0.05;Matches
256;Benson Manuel;be BEL;MF,FW;Burnley;26-218;1997;3;1;67;0.7;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.86;0.00;12.9;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.03;0.03;0.03;Matches
257;Solly March;eng ENG;FW,DF;Brighton;29-104;1994;7;7;554;6.2;0.48;0.16;0.65;0.48;0.00;0.00;0.16;0.00;0.32;0.32;0.16;0.47;2.26;3.87;7.10;0.49;0.16;0.65;0.49;0.65;0.32;0.16;0.47;0.32;0.47;Matches
258;Anthony Martial;fr FRA;FW,MF;Manchester Utd;27-331;1995;8;2;225;2.5;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.08;0.08;0.08;0.16;1.20;2.80;8.00;0.00;0.00;0.00;0.00;0.00;0.09;0.07;0.16;0.09;0.16;Matches
259;Gabriel Martinelli;br BRA;FW;Arsenal;22-136;2001;8;7;543;6.0;0.17;0.33;0.50;0.17;0.00;0.00;0.00;0.00;0.15;0.15;0.18;0.32;5.17;3.50;13.7;0.17;0.33;0.50;0.17;0.50;0.14;0.18;0.32;0.14;0.32;Matches
260;Emiliano Martínez;ar ARG;GK;Aston Villa;31-060;1992;9;9;810;9.0;0.00;0.00;0.00;0.00;0.00;0.00;0.22;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
261;Lisandro Martínez;ar ARG;DF;Manchester Utd;25-287;1998;5;5;375;4.2;0.00;0.24;0.24;0.00;0.00;0.00;0.48;0.00;0.00;0.00;0.02;0.02;1.43;6.19;0.24;0.00;0.24;0.24;0.00;0.24;0.00;0.02;0.02;0.00;0.02;Matches
262;Pape Matar Sarr;sn SEN;MF;Tottenham;21-048;2002;10;9;708;7.9;0.13;0.13;0.25;0.13;0.00;0.00;0.25;0.00;0.22;0.22;0.14;0.34;1.90;7.34;3.80;0.13;0.13;0.25;0.13;0.25;0.21;0.14;0.35;0.21;0.35;Matches
263;Jean-Philippe Mateta;fr FRA;FW;Crystal Palace;26-126;1997;8;3;379;4.2;0.00;0.71;0.71;0.00;0.00;0.00;0.24;0.00;0.10;0.10;0.29;0.38;0.48;1.19;5.71;0.00;0.71;0.71;0.00;0.71;0.09;0.28;0.37;0.09;0.37;Matches
264;Joël Matip;cm CMR;DF;Liverpool;32-085;1991;7;6;533;5.9;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.07;0.07;0.00;0.08;0.85;4.07;0.00;0.00;0.00;0.00;0.00;0.00;0.07;0.01;0.08;0.07;0.08;Matches
265;Alex Matos;eng ENG;MF;Chelsea;19-029;2004;1;0;1;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
266;Neal Maupay;fr FRA;FW;Brentford;27-079;1996;5;1;158;1.8;0.00;1.11;1.11;0.00;0.00;0.00;1.11;0.00;0.61;0.61;0.72;1.28;1.11;2.22;6.67;0.00;1.14;1.14;0.00;1.14;0.62;0.71;1.33;0.62;1.33;Matches
267;Neal Maupay;fr FRA;FW;Everton;27-079;1996;2;1;111;1.2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.17;1.17;0.08;1.25;0.83;0.00;5.00;0.00;0.00;0.00;0.00;0.00;1.16;0.05;1.22;1.16;1.22;Matches
268;Konstantinos Mavropanos;gr GRE;DF;West Ham;25-325;1997;1;0;1;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
269;Bryan Mbeumo;cm CMR;FW;Brentford;24-086;1999;10;10;900;10.0;0.60;0.20;0.80;0.40;0.20;0.20;0.10;0.00;0.63;0.48;0.23;0.71;3.10;4.10;9.00;0.60;0.20;0.80;0.40;0.60;0.63;0.23;0.87;0.48;0.71;Matches
270;James Mcatee;eng ENG;MF;Sheffield Utd;21-014;2002;6;5;384;4.3;0.00;0.00;0.00;0.00;0.00;0.00;0.23;0.00;0.07;0.07;0.09;0.16;2.79;2.33;5.12;0.00;0.00;0.00;0.00;0.00;0.08;0.09;0.17;0.08;0.17;Matches
271;James Mcatee;eng ENG;MF;Manchester City;21-014;2002;1;0;1;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
