;;;;;;;Playing Time;;;;Performance;;;;;;;;Expected;;;;Progression;;;Per 90 Minutes;;;;;;;;;;
Rk;Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Matches
31;Jordan Ayew;gh GHA;FW,MF;Crystal Palace;32-051;1991;10;10;834;9.3;0.11;0.22;0.32;0.11;0.00;0.00;0.32;0.00;0.17;0.17;0.12;0.29;3.12;2.69;7.53;0.11;0.22;0.32;0.11;0.32;0.17;0.12;0.29;0.17;0.29;Matches
32;Leon Bailey;jm JAM;MF,FW;Aston Villa;26-084;1997;8;2;272;3.0;1.00;0.67;1.67;1.00;0.00;0.00;0.33;0.00;0.50;0.50;0.50;1.00;5.33;3.33;10.0;0.99;0.66;1.65;0.99;1.65;0.51;0.50;1.01;0.51;1.01;Matches
33;George Baldock;gr GRE;DF,MF;Sheffield Utd;30-237;1993;4;3;270;3.0;0.00;0.00;0.00;0.00;0.00;0.00;0.33;0.00;0.00;0.00;0.07;0.07;0.67;2.00;4.33;0.00;0.00;0.00;0.00;0.00;0.00;0.05;0.05;0.00;0.05;Matches
34;Carlos Baleba;cm CMR;MF;Brighton;19-302;2004;5;3;247;2.7;0.00;0.00;0.00;0.00;0.00;0.00;0.37;0.00;0.11;0.11;0.00;0.11;0.74;2.59;0.00;0.00;0.00;0.00;0.00;0.00;0.10;0.02;0.12;0.10;0.12;Matches
35;Shandon Baptiste;gd GRN;MF;Brentford;25-207;1998;1;0;19;0.2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
36;Ross Barkley;eng ENG;MF;Luton Town;29-331;1993;5;3;265;2.9;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.17;0.17;0.17;0.34;1.38;5.86;0.69;0.00;0.00;0.00;0.00;0.00;0.16;0.17;0.32;0.16;0.32;Matches
37;Harvey Barnes;eng ENG;FW;Newcastle Utd;25-327;1997;6;2;187;2.1;0.48;0.48;0.95;0.48;0.00;0.00;0.48;0.00;0.33;0.33;0.43;0.76;7.14;2.38;7.62;0.48;0.48;0.96;0.48;0.96;0.35;0.42;0.76;0.35;0.76;Matches
38;Chris Basham;eng ENG;DF,MF;Sheffield Utd;35-104;1988;8;3;321;3.6;0.00;0.00;0.00;0.00;0.00;0.00;0.28;0.00;0.03;0.03;0.08;0.11;0.28;1.94;1.67;0.00;0.00;0.00;0.00;0.00;0.04;0.07;0.10;0.04;0.10;Matches
39;Calvin Bassey;ng NGA;DF;Fulham;23-305;1999;6;3;307;3.4;0.00;0.00;0.00;0.00;0.00;0.00;0.59;0.29;0.00;0.00;0.00;0.00;0.29;0.88;0.59;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
40;Donny van de Beek;nl NED;DF;Manchester Utd;26-197;1997;1;0;3;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.1;0.2;0;0;1;0.00;0.00;0.00;0.00;0.00;1.09;4.44;5.54;1.09;5.54;Matches
