id,name,now_cost,position,team,red_cards,transfers_in_event,assists,saves,transfers_out,bonus,clean_sheets_per_90,cost_change_start,cost_change_event,starts,corners_and_indirect_freekicks_order,direct_freekicks_order,selected_rank_type,expected_goal_involvements_per_90,now_cost_rank,goals_conceded_per_90,ict_index_rank_type,selected_rank,form_rank_type,creativity_rank_type,ep_this,cost_change_event_fall,points_per_game_rank,ict_index,threat,ict_index_rank,now_cost_rank_type,expected_assists_per_90,influence_rank_type,expected_goals_conceded,chance_of_playing_this_round,penalties_missed,web_name,selected_by_percent,expected_goals_per_90,chance_of_playing_next_round,saves_per_90,points_per_game_rank_type,clean_sheets,threat_rank_type,own_goals,expected_goals,news,news_added,form_rank,penalties_order,value_form,transfers_in,form,creativity,value_season,bps,goals_conceded,yellow_cards,goals_scored,expected_goal_involvements,influence_rank,creativity_rank,points_per_game,influence,minutes,penalties_saved,status,expected_assists,transfers_out_event,starts_per_90,threat_rank,cost_change_start_fall,dreamteam_count,in_dreamteam,ep_next,event_points,total_points,expected_goals_conceded_per_90
316,Amari'i Bell,39,DEF,Luton,0,243,0,0,582895,0,0.0,-1,0,7,,,44,0.07,724,1.93,99,103,123,117,0.0,0,321,15.3,33.0,284,230,0.01,91,11.75,0.0,0,Bell,3.2,0.06,0.0,0.0,105,0,72,0,0.37,Hamstring injury - Expected back 25 Nov,2023-10-03T22:30:08.429028Z,394,,0.0,104255,0.0,16.8,2.3,68,12,0,0,0.44,217,336,1.3,104.4,560,0,i,0.07,5793,1.12,246,1,0,False,0.0,0,9,1.89
317,Luke Berry,47,MID,Luton,0,19,0,0,5729,0,0.0,-3,0,0,,,203,0.0,313,3.46,213,555,263,284,0.0,0,401,0.2,2.0,453,204,0.0,283,1.22,0.0,0,Berry,0.0,0.0,100.0,0.0,189,0,202,0,0.00,,2023-11-04T03:00:08.936884Z,653,,0.0,1070,0.0,0.0,0.4,6,1,0,0,0.00,684,681,1.0,0.0,26,0,a,0.00,45,0.0,402,3,0,False,-0.5,0,2,4.22
318,Reece Burke,40,DEF,Luton,0,15,1,0,16269,0,0.0,0,0,7,,,136,0.09,635,1.82,59,360,110,43,0.0,0,290,25.6,51.0,202,171,0.03,70,12.33,0.0,0,Burke,0.1,0.06,0.0,0.0,94,0,42,0,0.37,Hamstring injury - Expected back 02 Dec,2023-10-22T23:30:07.909991Z,341,,0.0,24493,0.2,73.8,3.2,79,12,1,0,0.56,170,168,1.6,131.2,595,0,i,0.19,451,1.06,193,0,0,False,0.0,0,13,1.87
319,Allan Campbell,49,MID,Luton,0,0,0,0,3733,0,0.0,-1,0,0,,,252,0.0,240,0.0,297,632,281,295,0.0,0,703,0.0,0.0,702,154,0.0,296,0.00,0.0,0,Campbell,0.0,0.0,0.0,0.0,297,0,293,0,0.00,Season-long loan to Millwall,2023-09-01T15:34:04.323217Z,677,,0.0,182,0.0,0.0,0.0,0,0,0,0,0.00,700,698,0.0,0.0,0,0,u,0.00,9,0.0,695,1,0,False,0.0,0,0,0.0
320,Jordan Clark,48,MID,Luton,0,12,0,0,1431,0,0.0,-2,0,0,,,292,0.0,285,0.0,205,705,171,212,-0.8,0,408,0.6,0.0,440,185,0.0,194,0.30,100.0,0,Clark,0.0,0.0,100.0,0.0,194,0,284,0,0.00,,2023-08-06T23:30:05.803333Z,361,,0.0,521,0.2,0.3,0.2,4,0,0,0,0.00,424,424,1.0,5.8,17,0,a,0.00,16,0.0,681,2,0,False,-0.3,1,1,1.59
321,Alfie Doughty,44,DEF,Luton,0,199,1,0,24103,4,0.0,-1,0,9,1.0,2.0,116,0.21,535,1.91,5,300,74,2,0.2,0,250,58.4,59.0,48,121,0.17,53,20.37,100.0,0,Doughty,0.2,0.04,75.0,0.0,81,0,40,0,0.32,Knock - 75% chance of playing,2023-11-12T02:00:09.508262Z,229,,0.3,29385,1.2,371.6,5.2,134,17,1,0,1.87,143,9,1.9,153.8,802,0,d,1.55,1002,1.01,183,1,0,False,0.5,2,23,2.29
322,Luke Freeman,49,MID,Luton,0,0,0,0,1875,0,0.0,-1,0,0,,,277,0.0,219,0.0,292,678,276,290,0.0,0,698,0.0,0.0,697,139,0.0,291,0.00,0.0,0,Freeman,0.0,0.0,0.0,0.0,292,0,287,0,0.00,Released,2023-08-25T08:38:56.197815Z,671,,0.0,59,0.0,0.0,0.0,0,0,0,0,0.00,695,691,0.0,0.0,0,0,u,0.00,5,0.0,687,1,0,False,0.0,0,0,0.0
323,Matt Macey,40,GKP,Luton,0,0,0,0,37347,0,0.0,0,0,0,,,40,0.0,627,0.0,51,288,50,35,0.0,0,499,0.0,0.0,495,43,0.0,51,0.00,0.0,0,Macey,0.3,0.0,0.0,0.0,51,0,28,0,0.00,Released from contract,2023-09-03T20:04:04.658822Z,422,,0.0,1324,0.0,0.0,0.0,0,0,0,0,0.00,488,473,0.0,0.0,0,0,u,0.00,303,0.0,449,0,0,False,0.0,0,0,0.0
324,John McAtee,45,FWD,Luton,0,0,0,0,219424,0,0.0,0,0,0,,,37,0.0,402,0.0,66,214,64,67,0.0,0,646,0.0,0.0,640,70,0.0,64,0.00,0.0,0,McAtee,0.6,0.0,0.0,0.0,70,0,66,0,0.00,Season-long loan to Barnsley,2023-08-28T08:17:07.837499Z,596,,0.0,7174,0.0,0.0,0.0,0,0,0,0,0.00,634,630,0.0,0.0,0,0,u,0.00,948,0.0,619,0,0,False,0.0,0,0,0.0
325,Carlos Mendes Gomes,45,MID,Luton,0,0,0,0,1389,0,0.0,0,0,0,,,281,0.0,415,0.0,260,683,232,257,0.0,0,654,0.0,0.0,648,239,0.0,256,0.00,0.0,0,Mendes,0.0,0.0,0.0,0.0,264,0,252,0,0.00,Permanent transfer to Bolton Wanderers,2023-07-26T11:29:40.140241Z,604,,0.0,0,0.0,0.0,0.0,0,0,0,0,0.00,642,638,0.0,0.0,0,0,u,0.00,4,0.0,628,0,0,False,0.0,0,0,0.0
