id,name,now_cost,position,team,influence_rank_type,now_cost_rank,threat_rank_type,bps,points_per_game_rank,expected_assists_per_90,points_per_game_rank_type,total_points,transfers_in_event,transfers_out_event,form_rank,in_dreamteam,news,goals_conceded_per_90,expected_assists,corners_and_indirect_freekicks_order,expected_goals_conceded,cost_change_event_fall,form,minutes,chance_of_playing_next_round,expected_goals_conceded_per_90,starts,ep_next,web_name,selected_rank,points_per_game,assists,expected_goals_per_90,ict_index_rank,creativity_rank,chance_of_playing_this_round,status,penalties_saved,selected_by_percent,saves_per_90,saves,threat_rank,news_added,dreamteam_count,cost_change_event,transfers_in,ict_index_rank_type,influence_rank,direct_freekicks_order,event_points,goals_conceded,value_form,starts_per_90,expected_goal_involvements_per_90,selected_rank_type,cost_change_start,ep_this,penalties_missed,threat,red_cards,own_goals,clean_sheets_per_90,expected_goals,yellow_cards,creativity,ict_index,influence,expected_goal_involvements,penalties_order,clean_sheets,bonus,now_cost_rank_type,goals_scored,transfers_out,value_season,creativity_rank_type,cost_change_start_fall,form_rank_type
536,Ben Johnson,44,DEF,West Ham,229,520,227,0,603,0.0,227,0,102,67,547,False,,0.0,0.00,,0.00,0,0.0,0,100.0,0.0,0,0.5,Johnson,474,0.0,0,0.0,597,581,100.0,a,0,0.1,0.0,0,567,2023-10-05T08:30:09.363808Z,0,0,1670,229,590,,0,0,0.0,0.0,0.0,184,-1,0.0,0,0.0,0,0,0.0,0.00,0,0.0,0.0,0.0,0.00,,0,0,114,0,5148,0.0,229,1,212
537,Thilo Kehrer,43,DEF,West Ham,152,584,216,6,452,0.0,149,2,66,130,511,False,,5.0,0.00,,0.45,0,0.0,18,,2.25,0,0.5,Kehrer,392,0.7,0,0.0,435,412,,a,0,0.1,0.0,0,535,,0,0,3516,155,413,,0,1,0.0,0.0,0.0,148,-2,0.0,0,0.0,0,0,0.0,0.00,1,0.7,0.9,8.4,0.00,,0,0,143,0,10079,0.5,152,2,196
538,Divin Mubama,43,FWD,West Ham,54,602,56,0,580,0.0,60,0,12131,11510,519,False,,0.0,0.00,,0.00,0,0.0,0,,0.0,0,0.5,Mubama,60,0.0,0,0.0,574,557,,a,0,6.8,0.0,0,541,,0,0,482193,56,568,,0,0,0.0,0.0,0.0,11,-2,0.0,0,0.0,0,0,0.0,0.00,0,0.0,0.0,0.0,0.00,,0,0,95,0,889882,0.0,57,2,54
539,Lucas Tolentino Coelho de Lima,60,MID,West Ham,32,66,64,153,120,0.16,52,35,8832,1646,99,False,,1.57,1.71,,19.75,0,3.0,975,100.0,1.82,11,3.5,L.Paquetá,146,3.2,1,0.23,50,33,100.0,a,0,1.5,0.0,0,104,2023-10-29T22:00:11.189331Z,0,0,155496,35,85,,9,17,0.5,1.02,0.39,44,0,3.0,0,118.0,0,0,0.18,2.44,5,239.9,56.9,210.4,4.15,3.0,2,3,41,2,189636,5.8,26,0,52
541,Gianluca Scamacca,60,FWD,West Ham,91,65,91,0,736,0.0,91,0,0,8,728,False,Permanent transfer to Atalanta BC,0.0,0.00,,0.00,0,0.0,0,0.0,0.0,0,0.0,Scamacca,598,0.0,0,0.0,737,737,0.0,u,0,0.0,0.0,0,737,2023-08-09T08:38:29.554289Z,0,0,0,91,737,,0,0,0.0,0.0,0.0,83,0,0.0,0,0.0,0,0,0.0,0.00,0,0.0,0.0,0.0,0.00,,0,0,21,0,4906,0.0,91,0,90
542,Tomáš Souček,49,MID,West Ham,17,250,23,137,91,0.05,43,40,6513,2250,108,False,,1.79,0.49,,18.16,0,2.8,805,100.0,2.03,10,3.3,Souček,159,3.6,1,0.34,57,161,100.0,a,0,1.3,0.0,0,39,2023-08-26T19:30:07.900929Z,0,0,170547,40,48,,7,16,0.6,1.12,0.39,51,-1,2.8,0,210.0,0,0,0.11,3.05,2,81.7,54.1,250.4,3.54,,1,3,160,3,156207,8.2,104,1,55
543,Nikola Vlašić,45,MID,West Ham,244,374,240,0,632,0.0,252,0,0,69,581,False,Permanent transfer to Torino,0.0,0.00,,0.00,0,0.0,0,0.0,0.0,0,0.0,Vlašić,497,0.0,0,0.0,626,616,0.0,u,0,0.1,0.0,0,604,2023-08-10T13:50:57.779550Z,0,0,0,248,620,,0,0,0.0,0.0,0.0,171,0,0.0,0,0.0,0,0,0.0,0.00,0,0.0,0.0,0.0,0.00,,0,0,225,0,12949,0.0,245,0,220
544,Kurt Zouma,45,DEF,West Ham,19,361,25,168,174,0.0,58,29,3002,4916,280,False,,1.73,0.01,,21.00,0,0.8,990,100.0,1.91,11,1.3,Zouma,134,2.6,0,0.05,155,340,50.0,a,0,1.8,0.0,0,154,2023-11-02T11:00:08.964026Z,1,0,223644,42,64,,1,19,0.2,1.0,0.05,55,0,0.4,0,73.0,0,0,0.09,0.57,1,15.4,32.1,233.2,0.58,,1,4,58,1,163476,6.4,120,0,92
577,Angelo Ogbonna,44,DEF,West Ham,133,473,219,17,323,0.0,107,4,95,105,350,False,,0.8,0.00,,1.75,0,0.2,112,,1.41,1,0.7,Ogbonna,409,1.3,0,0.0,403,429,,a,0,0.1,0.0,0,544,,0,0,3358,143,346,,1,1,0.0,0.8,0.0,160,-1,0.2,0,0.0,0,0,0.0,0.00,0,0.1,3.1,30.8,0.00,,0,0,89,0,7242,0.9,155,1,117
642,Edson Álvarez Velázquez,50,MID,West Ham,62,194,129,102,275,0.01,122,18,370,301,160,False,,1.78,0.12,,15.72,0,2.0,758,100.0,1.87,9,2.5,Álvarez,359,1.8,1,0.05,233,274,100.0,a,0,0.1,0.0,0,242,2023-10-29T22:00:11.382492Z,0,0,13907,112,159,,2,15,0.4,1.07,0.06,113,0,2.0,0,35.0,0,0,0.12,0.43,5,35.6,21.2,142.2,0.55,,1,0,121,0,15759,3.6,147,0,74
